[2025-10-26 17:30:03] [INFO    ] discord.client: logging in using static token
[2025-10-26 17:30:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-26 17:30:04] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-26 17:30:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1432025144511172782', 'username': 'python_test', 'avatar': None, 'discriminator': '7044', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-26 17:30:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-26 17:30:04] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-26 17:30:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1432025144511172782', 'name': 'python test', 'icon': None, 'description': 'Idk this is another test', 'type': None, 'bot': {'id': '1432025144511172782', 'username': 'python_test', 'avatar': None, 'discriminator': '7044', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'e8565f6b4ac63b3ec27adf5382534e0dabfd9c8ef7620dbf26203debcd13d508', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '803539378546147339', 'username': 'icommittedniemann', 'avatar': '05076d44e01fc279d89871d6ea677889', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 14680064, 'global_name': 'IcommittedNiemann', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#e00000', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-26 17:30:04] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-26 17:30:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-2czx",{"micros":0.0}]']}}
[2025-10-26 17:30:04] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-26 17:30:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-26 17:30:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'python_test', 'primary_guild': None, 'mfa_enabled': False, 'id': '1432025144511172782', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7044', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '2bc117336a6f4d8aa64a2f657eb5579f', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1258347277462798337'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['rotterdam', 'london', 'frankfurt', 'paris', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1432025144511172782', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-2czx",{"micros":200397,"calls":["id_created",{"micros":495,"calls":[]},"session_lookup_time",{"micros":254,"calls":[]},"session_lookup_finished",{"micros":17,"calls":[]},"discord-sessions-prd-2-50",{"micros":199074,"calls":["start_session",{"micros":191435,"calls":["discord-api-rpc-545958f7c5-lfmg5",{"micros":150937,"calls":["get_user",{"micros":14268},"get_guilds",{"micros":75401},"send_scheduled_deletion_message",{"micros":25},"guild_join_requests",{"micros":12},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":30300},"apex_experiments",{"micros":2719},"user_activities",{"micros":3},"played_application_ids",{"micros":6},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":28,"calls":[]},"presence_started",{"micros":1481,"calls":[]},"guilds_started",{"micros":75,"calls":[]},"lobbies_started",{"micros":63,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":5962,"calls":[]},"connect_finished",{"micros":5970,"calls":[]},"build_ready",{"micros":19,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-10-26 17:30:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
